,Symbol,Name,Last Price,MarketTime,Change,% Change,Volume
0,BTC-USD,Bitcoin USD,6694212,10:25AM UTC,+354.62,+0.53%,18.078B
1,CELH,"Celsius Holdings, Inc.",4958,4:00PM EDT,-1.40,-2.75%,6.983M
2,SOL-USD,Solana USD,17263,10:24AM UTC,+3.55,+2.10%,1.902B
3,DOGE-USD,Dogecoin USD,131606,10:25AM UTC,+0.004497,+3.54%,1.052B
4,BTC-CAD,Bitcoin CAD,9219604,10:24AM UTC,+488.39,+0.53%,24.898B
5,AAPL,Apple Inc.,22431,4:00PM EDT,+0.13,+0.06%,48.988M
6,PFE,Pfizer Inc.,2997,4:02PM EDT,+0.26,+0.88%,29.969M
7,JPY=X,USD/JPY,1574400,9:59PM BST,+0.1390,+0.09%,0
8,ORCL,Oracle Corporation,13856,4:00PM EDT,+0.53,+0.38%,6.111M
9,SHOP,Shopify Inc.,6316,4:00PM EDT,+0.05,+0.08%,6.675M
10,JPM,JPMorgan Chase & Co.,20978,4:00PM EDT,-0.20,-0.10%,8.091M
11,BTC-EUR,Bitcoin EUR,6148534,10:24AM UTC,+325.71,+0.53%,16.604B
12,QS,QuantumScape Corporation,812,4:00PM EDT,-0.25,-2.99%,14.711M
13,JNJ,Johnson & Johnson,15469,4:00PM EDT,-0.73,-0.47%,7.393M
14,ETH-USD,Ethereum USD,350059,10:24AM UTC,+14.56,+0.42%,9.918B
15,NKE,"NIKE, Inc.",7270,4:00PM EDT,+0.32,+0.44%,11.764M
16,LULU,Lululemon Athletica Inc.,28023,4:00PM EDT,-4.90,-1.72%,1.623M
17,BRK-B,Berkshire Hathaway Inc.,43447,4:01PM EDT,-7.35,-1.66%,4.154M
18,CL=F,Crude Oil,8025,4:50PM EDT,-2.57,-3.10%,"48,226"
19,BABA,Alibaba Group Holding Limited,7527,4:00PM EDT,-1.27,-1.66%,7.55M
20,GOOG,Alphabet Inc.,17939,4:00PM EDT,+0.17,+0.09%,14.466M
21,NIO,NIO Inc.,44600,4:02PM EDT,-0.0800,-1.76%,22.237M
22,RIVN,"Rivian Automotive, Inc.",1675,4:00PM EDT,-0.15,-0.89%,25.815M
23,GC=F,Gold,240280,4:59PM EDT,-53.60,-2.18%,"238,616"
24,BA,The Boeing Company,17967,4:00PM EDT,-0.56,-0.31%,5.109M
25,EURUSD=X,EUR/USD,10886,10:29PM BST,-0.0014,-0.13%,0
